Time,timeFromLastRepair,timeToNextRepair
40568.46041667,0.6375,23.78055333
40568.4625,0.63958333,23.77847
40568.46458333,0.64166666,23.77638667
40568.46666667,0.64375,23.77430333
40568.46875,0.64583333,23.77222
40568.47083333,0.64791666,23.77013667
40568.47291667,0.65,23.76805333
40568.475,0.65208333,23.76597
40568.47708333,0.65416666,23.76388667
40568.47916667,0.65625,23.76180333
40568.48125,0.65833333,23.75972
40568.48333333,0.66041666,23.75763667
40568.48541667,0.6625,23.75555333
40568.4875,0.66458333,23.75347
40568.48958333,0.66666666,23.75138667
40568.49166667,0.66875,23.74930333
40568.49375,0.67083333,23.74722
40568.49583333,0.67291666,23.74513667
40568.49791667,0.675,23.74305333
40568.5,0.67708333,23.74097
40568.50208333,0.67916666,23.73888667
40568.50416667,0.68125,23.73680333
40568.50625,0.68333333,23.73472
40568.50833333,0.68541666,23.73263667
40568.51041667,0.6875,23.73055333
40568.5125,0.68958333,23.72847
40568.51458333,0.69166666,23.72638667
40568.51666667,0.69375,23.72430333
40568.51875,0.69583333,23.72222
40568.52083333,0.69791666,23.72013667
40568.52291667,0.7,23.71805333
40568.525,0.70208333,23.71597
40568.52708333,0.70416666,23.71388667
40568.52916667,0.70625,23.71180333
40568.53125,0.70833333,23.70972
40568.53333333,0.71041666,23.70763667
40568.53541667,0.7125,23.70555333
40568.5375,0.71458333,23.70347
40568.53958333,0.71666666,23.70138667
40568.54166667,0.71875,23.69930333
40568.54375,0.72083333,23.69722
40568.54583333,0.72291666,23.69513667
40568.54791667,0.725,23.69305333
40568.55,0.72708333,23.69097
40568.55208333,0.72916666,23.68888667
40568.55416667,0.73125,23.68680333
40568.55625,0.73333333,23.68472
40568.55833333,0.73541666,23.68263667
40568.56041667,0.7375,23.68055333
40568.5625,0.73958333,23.67847
40568.56458333,0.74166666,23.67638667
40568.56666667,0.74375,23.67430333
40568.56875,0.74583333,23.67222
40568.57083333,0.74791666,23.67013667
40568.57291667,0.75,23.66805333
40568.575,0.75208333,23.66597
40568.57708333,0.75416666,23.66388667
40568.57916667,0.75625,23.66180333
40568.58125,0.75833333,23.65972
40568.58333333,0.76041666,23.65763667
40568.58541667,0.7625,23.65555333
40568.5875,0.76458333,23.65347
40568.58958333,0.76666666,23.65138667
40568.59166667,0.76875,23.64930333
40568.59375,0.77083333,23.64722
40568.59583333,0.77291666,23.64513667
40568.59791667,0.775,23.64305333
40568.6,0.77708333,23.64097
40568.60208333,0.77916666,23.63888667
40568.60416667,0.78125,23.63680333
40568.60625,0.78333333,23.63472
40568.60833333,0.78541666,23.63263667
40568.61041667,0.7875,23.63055333
40568.6125,0.78958333,23.62847
40568.61458333,0.79166666,23.62638667
40568.61666667,0.79375,23.62430333
40568.61875,0.79583333,23.62222
40568.62083333,0.79791666,23.62013667
40568.62291667,0.8,23.61805333
40568.625,0.80208333,23.61597
40568.62708333,0.80416666,23.61388667
40568.62916667,0.80625,23.61180333
40568.63125,0.80833333,23.60972
40568.63333333,0.81041666,23.60763667
40568.63541667,0.8125,23.60555333
40568.6375,0.81458333,23.60347
40568.63958333,0.81666666,23.60138667
40568.64166667,0.81875,23.59930333
40568.64375,0.82083333,23.59722
40568.64583333,0.82291666,23.59513667
40568.64791667,0.825,23.59305333
