xdata,ydata,zdata,color
-0.0002261537,-0.0002061191,-0.0002235028,3.1999967
-0.0002258427,-0.0002053085,-0.0002205942,3.20139
-0.0002257586,-0.000204909,-0.0002109281,3.2076433
-0.0002247517,-0.0002047735,-0.0002101875,3.21528
-0.0002215938,-0.0002014493,-0.0002095178,3.22638667
-0.0002188054,-0.0002002807,-0.0002093434,3.23819
-0.0002180234,-0.0001998611,-0.000208633,3.24931
-0.0002176675,-0.0001985044,-0.000206867,3.2673633
-0.0002174854,-0.0001969808,-0.0002014068,3.28333
-0.0002173489,-0.0001968066,-0.0001960918,3.2847233
-0.000216639,-0.0001954202,-0.0001954905,3.2909767
-0.0002157229,-0.0001949682,-0.0001945451,3.29861333
-0.0002137949,-0.000193751,-0.0001931755,3.30972
-0.0002130438,-0.0001917711,-0.0001901498,3.3215233
-0.0002127788,-0.0001903104,-0.0001882229,3.3326433
-0.0002109753,-0.0001884797,-0.0001867206,3.3506967
-0.0002085849,-0.0001877316,-0.0001816084,3.3666633
-0.0002085236,-0.0001816569,-0.0001808911,3.3680567
-0.000206701,-0.0001815423,-0.000180012,3.37431
-0.0002061694,-0.0001801513,-0.000179324,3.39305333
-0.0002050617,-0.0001793158,-0.0001773305,3.4048567
-0.0002011918,-0.0001755303,-0.0001770833,3.4159767
-0.0001996631,-0.000175106,-0.0001762199,3.43403
-0.0001995896,-0.0001739724,-0.0001752134,3.4499967
-0.0001995456,-0.0001722349,-0.0001639296,3.45139
-0.0001977981,-0.0001714251,-0.0001603084,3.4576433
-0.0001974727,-0.0001704609,-0.0001599388,3.47638667
-0.0001966372,-0.0001684119,-0.0001558816,3.48819
-0.0001937692,-0.0001682945,-0.000152886,3.49931
-0.0001926284,-0.0001672432,-0.0001519275,3.5173633
-0.0001913431,-0.0001645552,-0.0001510126,3.53333
-0.0001906271,-0.0001626687,-0.0001467487,3.5347233
-0.0001845031,-0.0001619996,-0.0001465117,3.5409733
-0.0001832467,-0.0001608947,-0.0001463771,3.5409767
-0.0001827471,-0.0001591805,-0.0001454,3.54236333
-0.0001823772,-0.0001577742,-0.000144365,3.55972
-0.0001756014,-0.0001574322,-0.0001406889,3.5715233
-0.0001752752,-0.0001555775,-0.0001391269,3.5826433
-0.000175103,-0.0001517142,-0.000137767,3.6006967
-0.0001749107,-0.0001490259,-0.0001356072,3.6166633
-0.0001745632,-0.0001489165,-0.0001354733,3.6180567
-0.0001744679,-0.0001435181,-0.0001335198,3.6243067
-0.000170979,-0.0001414085,-0.0001312702,3.62431
-0.0001655188,-0.0001411572,-0.0001284361,3.62569667
-0.0001623906,-0.0001391164,-0.0001278076,3.64305333
-0.0001581333,-0.0001389766,-0.0001236538,3.6548567
-0.0001554708,-0.0001384226,-0.0001235794,3.6659767
-0.0001516606,-0.0001382216,-0.0001209524,3.68403
-0.0001493679,-0.0001368334,-0.0001205876,3.6999967
-0.0001482215,-0.0001364464,-0.0001204578,3.70139
-0.0001480752,-0.0001340507,-0.0001191103,3.70764
-0.0001472222,-0.0001308022,-0.0001147506,3.7076433
-0.0001450725,-0.000123584,-0.0001146524,3.70903
-0.0001421667,-0.0001232051,-0.0001134615,3.72638667
-0.0001399437,-0.0001198629,-0.0001127949,3.73819
-0.0001389845,-0.0001170741,-0.0001104039,3.74931
-0.0001382167,-0.0001152876,-0.0001093554,3.7673633
-0.0001354882,-0.0001147582,-0.0001071162,3.78333
-0.0001351455,-0.0001133723,-0.000105363,3.7847233
-0.0001319214,-0.0001125711,-0.0001049067,3.7909733
-0.0001313746,-0.0001117372,-0.0001041014,3.79236333
-0.0001299513,-0.0001107548,-0.0001020917,3.80972
-0.0001277171,-0.0001091609,-9.68110637949141E-05,3.8215233
-0.0001264946,-0.0001084235,-9.47262384164666E-05,3.8326433
-0.0001248254,-0.0001064694,-9.36730802753886E-05,3.8506967
-0.0001243314,-0.0001064014,-0.000090925,3.8666633
-0.0001239868,-0.0001053275,-9.08461662451392E-05,3.8680567
-0.0001238922,-0.0001024156,-8.83772463672184E-05,3.8743067
-0.0001231739,-0.0001006011,-8.77594495636381E-05,3.87569667
-0.0001230265,-9.98545213757037E-05,-8.50449010834438E-05,3.89305333
-0.0001204184,-9.94925127216113E-05,-8.3426810878983E-05,3.9048567
-0.0001196068,-9.83291016317198E-05,-0.000083268,3.9159767
-0.0001191815,-9.58213780520057E-05,-8.32044972989061E-05,3.93403
-0.0001161183,-9.24132192632603E-05,-8.29765003652643E-05,3.9499967
-0.0001160095,-9.20733882730405E-05,-8.28996666748411E-05,3.95139
-0.0001151481,-9.15293092366507E-05,-8.27029484142067E-05,3.95764
-0.0001131608,-9.04065674115125E-05,-0.000081583,3.97638667
-0.0001115741,-8.71131035562045E-05,-0.00008114,3.98819
-0.0001071834,-8.68625378416711E-05,-8.11296935594581E-05,3.99931
-0.0001063626,-8.1086130325369E-05,-7.92320544652793E-05,4.0173633
-0.0001060318,-8.02127716009061E-05,-7.80391155594924E-05,4.0222267
-0.0001041949,-7.95338850489233E-05,-7.20536166673953E-05,4.03333
-0.0001025118,-7.92871140947318E-05,-6.96083091268849E-05,4.0347233
-0.000099345,-7.82683632925996E-05,-6.8813068613368E-05,4.0409733
-9.88873604066884E-05,-7.63588018160166E-05,-6.62183794072913E-05,4.05972
-9.86632561892791E-05,-7.42686781310892E-05,-6.568515401374E-05,4.0826433
-9.61705932452957E-05,-7.22583381132863E-05,-6.3894849952401E-05,4.0902733
-9.52176723830806E-05,-7.0670110044435E-05,-6.20726139014715E-05,4.1006967
-9.43845782775404E-05,-6.90295446508978E-05,-6.11229182187274E-05,4.10556
-9.13824494799449E-05,-6.73544411251019E-05,-5.86108643453697E-05,4.1166633
-8.75011298707465E-05,-6.61394920680246E-05,-5.8010514139018E-05,4.1180567
-8.66386845927285E-05,-6.46738831214243E-05,-5.79491904971994E-05,4.1243067
-8.54219286283634E-05,-6.41833377337692E-05,-5.79267032218402E-05,4.14305333
-8.50879073078738E-05,-5.97084791995379E-05,-5.60708208076419E-05,4.1659767
-8.3213701624092E-05,-0.000054161,-5.58800559011734E-05,4.18403
-7.9122583575388E-05,-5.40536400421578E-05,-5.37307989287063E-05,4.1888933
-7.87133084327682E-05,-5.39875872130443E-05,-5.07313494169528E-05,4.1999967
-7.17172883718632E-05,-0.000053718,-5.00403753947103E-05,4.20139
-6.67299142465982E-05,-5.32718738602903E-05,-4.99311934790276E-05,4.20764
-6.57511360454226E-05,-5.30356453281878E-05,-4.87278434493274E-05,4.22638667
-6.35407279294163E-05,-4.46006715071808E-05,-4.72055340051724E-05,4.24931
-6.32376080600693E-05,-4.03521112813573E-05,-0.000047205,4.2673633
-6.30898420618816E-05,-4.00615562242383E-05,-4.67777197304934E-05,4.2722267
-5.91179288334948E-05,-3.62095408145984E-05,-4.61131847674396E-05,4.28333
-5.7389550847128E-05,-3.47517635633249E-05,-4.38381324436769E-05,4.2847233
-5.43365942864753E-05,-3.38661947944815E-05,-4.26743664783601E-05,4.2909733
-5.37899383284437E-05,-3.30936086566634E-05,-4.20881049652691E-05,4.30972
-5.24691970276949E-05,-3.30074769227061E-05,-3.88200804497269E-05,4.3326433
-5.23286879780445E-05,-3.16376895620729E-05,-3.81366764927711E-05,4.34444
-5.01998178084731E-05,-2.9720475157759E-05,-0.000038029,4.3506967
-4.68057640677053E-05,-2.95467246784909E-05,-3.65651405512218E-05,4.35556
-4.5164281202396E-05,-2.90819462625362E-05,-3.56287166180116E-05,4.3666633
-4.4341567123779E-05,-2.70743210598835E-05,-3.45453356269238E-05,4.3680567
-4.16421680583438E-05,-2.59116258802466E-05,-3.10832404441576E-05,4.3743067
-3.89101385996338E-05,-2.39615065705399E-05,-2.80866207236541E-05,4.39305333
-3.21462584519607E-05,-2.3909451448265E-05,-2.74344223960095E-05,4.4277733
-3.20416820590584E-05,-2.38701692829725E-05,-2.50716466627678E-05,4.43403
-3.11224002335928E-05,-2.0301744328081E-05,-2.50217863322386E-05,4.4388933
-3.03831912140909E-05,-1.43127790751337E-05,-2.38901933999374E-05,4.4499967
-2.76673147044843E-05,-1.13426391679996E-05,-2.27065751181862E-05,4.45139
